Number of cities (n);Execution time (s);minLength;minPath;maxLength;maxPath
3;   0.693;764;[1,0,2];1002;[1,2,0]
4;   0.964;775;[2,1,0,3];1417;[0,3,1,2]
5;   1.241;934;[4,3,2,1,0];1716;[0,2,4,1,3]
6;   1.507;971;[3,2,1,0,5,4];1986;[0,5,2,4,1,3]
7;   1.849;988;[4,6,2,3,1,0,5];2290;[4,1,3,0,6,5,2]
8;   2.113;1260;[4,5,0,6,2,3,1,7];2888;[6,5,2,4,1,3,7,0]
9;   2.365;1362;[4,5,7,1,0,6,3,2,8];3482;[6,5,2,4,1,8,0,3,7]
10;   2.700;1314;[2,3,6,1,9,7,4,5,0,8];3901;[2,4,1,8,0,5,3,7,6,9]
11;   2.954;1343;[2,8,6,1,9,7,4,5,0,10,3];4114;[3,5,2,7,10,4,1,8,0,6,9]
12;   3.244;1386;[7,5,4,11,8,2,3,6,10,0,1,9];4482;[5,3,7,6,9,8,0,11,1,2,4,10]
13;   3.489;1607;[5,0,1,9,7,4,11,8,2,12,3,6,10];5182;[8,9,2,4,6,5,3,7,12,0,11,10,1]
14;   3.792;1724;[11,6,3,2,12,8,10,13,0,1,5,9,7,4];5307;[5,8,13,11,1,6,9,2,7,12,0,3,4,10]
15;   4.083;1776;[3,6,10,13,1,9,7,4,5,0,14,11,8,12,2];5796;[14,12,0,6,1,11,5,3,7,10,4,8,13,9,2]
16;   4.312;2112;[9,4,5,0,13,11,15,12,8,2,3,6,10,1,14,7];6767;[5,2,4,8,14,12,0,11,13,6,1,3,9,15,7,10]
17;   4.612;2297;[13,9,7,5,14,1,0,10,11,8,12,15,2,3,6,16,4];6919;[1,8,9,2,0,11,13,10,4,15,7,6,5,3,16,14,12]
18;   4.913;2493;[14,1,13,10,2,12,8,15,3,6,16,11,0,17,5,4,7,9];7328;[2,7,6,17,11,5,15,14,10,4,8,0,16,1,3,13,12,9]
