Number of cities (n);Execution time (s);minLength;minPath;maxLength;maxPath
3;   0.698;683;[0,1,2];683;[1,2,0]
4;   0.921;862;[2,0,1,3];1335;[3,0,2,1]
5;   1.181;980;[3,1,0,4,2];1497;[0,3,4,1,2]
6;   1.532;1125;[3,2,4,5,0,1];1794;[5,1,2,0,4,3]
7;   1.709;1125;[1,6,3,2,4,5,0];2335;[4,3,5,1,2,0,6]
8;   1.989;1137;[4,2,7,3,6,1,0,5];2909;[4,6,0,2,1,7,5,3]
9;   2.237;1153;[0,1,6,3,7,2,8,4,5];2940;[6,4,3,5,7,1,2,0,8]
10;   2.531;1279;[4,5,0,1,6,3,9,7,2,8];3549;[3,0,2,1,7,5,9,4,6,8]
11;   2.732;1336;[7,2,8,0,4,5,10,1,6,3,9];4107;[3,0,2,10,7,1,8,6,4,9,5]
12;   3.013;1333;[5,10,1,11,6,3,9,7,2,8,0,4];4508;[2,1,7,11,8,0,6,4,3,5,9,10]
13;   3.214;1568;[9,7,2,8,0,4,5,10,12,1,11,6,3];5044;[2,12,8,11,4,6,0,9,5,3,10,7,1]
14;   3.473;1648;[10,12,5,4,0,8,7,2,9,3,6,13,11,1];5419;[3,4,13,5,9,1,2,12,7,11,8,10,6,0]
15;   4.055;1816;[6,9,3,2,7,14,8,0,5,12,10,4,1,11,13];5646;[8,13,5,6,0,3,4,9,1,7,10,2,12,14,11]
16;   5.228;1943;[10,12,1,11,15,8,13,6,3,9,2,7,14,0,4,5];5707;[5,6,15,9,1,7,12,8,11,14,10,3,0,2,4,13]
17;   4.225;2331;[13,15,12,10,1,11,0,4,5,8,14,7,2,16,9,3,6];6523;[8,1,16,4,6,0,3,10,2,13,5,9,15,14,12,7,11]
18;   4.489;2424;[17,5,1,11,12,10,0,13,6,3,7,2,9,16,14,8,15,4];7004;[14,15,6,0,13,5,3,4,9,1,2,10,16,12,7,11,8,17]
