Number of cities (n)	Execution time (s)	minLength	minPath	maxLength	maxPath
3	   0.022	580	[0,2,1]	786	[0,1,2]
4	   0.014	755	[0,3,2,1]	1362	[0,2,1,3]
5	   0.011	851	[0,3,2,4,1]	1632	[0,1,2,4,3]
6	   0.013	995	[0,3,2,4,5,1]	1989	[0,4,2,1,5,3]
7	   0.014	1060	[0,6,3,2,4,5,1]	2434	[0,1,2,4,6,5,3]
8	   0.013	1060	[0,2,7,3,6,1,4,5]	3075	[0,2,1,7,4,6,5,3]
9	   0.011	1073	[0,8,2,7,3,6,1,4,5]	3170	[0,2,1,7,4,6,8,5,3]
10	   0.011	1193	[0,8,2,7,9,3,6,1,4,5]	3816	[0,2,1,7,4,6,8,3,5,9]
11	   0.014	1216	[0,8,2,7,9,3,6,4,5,10,1]	4361	[0,6,8,1,2,10,7,4,3,5,9]
12	   0.012	1305	[0,4,5,10,1,11,6,3,9,7,2,8]	4721	[0,6,5,3,10,2,11,8,1,7,4,9]
13	   0.018	1485	[0,8,2,7,9,3,6,4,5,10,12,11,1]	5359	[0,8,11,5,3,1,7,4,6,10,2,12,9]
14	   0.022	1508	[0,4,5,10,12,8,2,7,9,3,6,13,11,1]	5703	[0,6,5,13,4,3,10,7,11,8,1,2,12,9]
15	   0.033	1526	[0,4,5,10,12,11,13,6,3,9,7,2,14,8,1]	5960	[0,14,4,6,1,7,11,8,13,5,3,10,2,12,9]
16	   0.062	1528	[0,4,5,10,12,11,13,6,3,9,7,2,14,8,15,1]	6188	[0,14,4,6,15,13,5,3,10,7,11,8,1,2,12,9]
17	   0.135	1730	[0,4,5,10,12,11,13,6,3,9,16,7,2,14,8,15,1]	7118	[0,14,10,2,1,7,4,3,15,13,5,6,8,11,16,12,9]
18	   0.275	1769	[0,4,5,17,10,12,11,13,6,3,9,16,7,2,14,8,15,1]	7655	[0,2,1,7,11,8,10,16,12,14,4,6,15,13,5,3,17,9]
