Number of cities (n)	Execution time (s)	minLength	minPath	maxLength	maxPath
3	   0.022	764	[0,2,1]	1002	[0,1,2]
4	   0.014	775	[0,3,2,1]	1417	[0,3,1,2]
5	   0.011	934	[0,4,3,2,1]	1716	[0,2,4,1,3]
6	   0.013	971	[0,5,4,3,2,1]	1986	[0,5,2,4,1,3]
7	   0.012	988	[0,5,4,6,2,3,1]	2290	[0,6,5,2,4,1,3]
8	   0.011	1260	[0,6,2,3,1,7,4,5]	2888	[0,6,5,2,4,1,3,7]
9	   0.014	1362	[0,6,3,2,8,4,5,7,1]	3482	[0,3,7,6,5,2,4,1,8]
10	   0.011	1314	[0,8,2,3,6,1,9,7,4,5]	3901	[0,5,3,7,6,9,2,4,1,8]
11	   0.014	1343	[0,10,3,2,8,6,1,9,7,4,5]	4114	[0,6,9,3,5,2,7,10,4,1,8]
12	   0.013	1347	[0,1,9,7,4,11,8,2,3,6,10,5]	4484	[0,11,1,3,7,6,5,2,4,10,9,8]
13	   0.017	1479	[0,1,9,7,4,11,8,12,2,3,6,10,5]	5202	[0,6,9,2,4,8,1,11,10,5,3,7,12]
14	   0.019	1481	[0,1,9,7,4,11,8,12,2,3,6,10,13,5]	5412	[0,11,1,8,13,6,9,2,4,10,5,3,7,12]
15	   0.032	1520	[0,1,14,9,7,4,11,8,12,2,3,6,10,13,5]	5925	[0,11,13,9,2,4,10,5,3,7,6,1,8,14,12]
16	   0.065	1722	[0,1,14,9,7,4,11,8,12,15,2,3,6,10,13,5]	6863	[0,3,7,6,5,2,4,10,9,15,13,11,1,8,14,12]
17	   0.127	1763	[0,1,14,9,7,4,16,11,8,12,15,2,3,6,10,13,5]	7223	[0,11,10,5,3,7,6,9,2,4,15,13,16,1,8,14,12]
18	   0.278	1769	[0,17,1,14,9,7,4,16,11,8,12,15,2,3,6,10,13,5]	7655	[0,3,5,2,4,10,9,15,7,6,17,11,13,16,1,8,14,12]
